,,,,,,,,,,,,,,,,,,
,,,,HALLS HEAD 2/109,,,,,,,,,,,,,,
HALLS HEAD 8/153,,HALLS HEAD 8/149,,DEF,,HALLS HEAD 2/90,,HALLS HEAD 7/148,,HALLS HEAD 8/246,,HALLS HEAD 2/140,,HALLS HEAD 7/215,,HALLS HEAD 5/127,,HALLS HEAD 6/100
DEF,,DEF,,WHITE KNIGHTS BALDIVIS GOLD 7/108,,DEF,,DEF,,DEF,,DEF,,DEF,,DEF,,DEF
SHOALWATER BAY 68,,MANDURAH 62,,,,WHITE KNIGHTS BALDIVIS COLTS 8/87,,SENIOR MEN PREMIER T20 6/125,,PINJARRA 118,,WHITE KNIGHTS BALDIVIS T20 F GRADE BLUE 4/111,,SHDCC SENIOR MEN B GRADE 205,,WHITE KNIGHTS BALDIVIS T20 D GRADE BLUE 2/125,,WHITE KNIGHTS BALDIVIS T20 FEMALE A 9/76
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
B GRADE McINTOSH CUP,,D GRADE RITCHIE CUP,,E GRADE,,,,,,,,,,,,,,
STAN TWIGHT RESERVE OVAL #2,,RHONDA SCARROTT RESERVE,,EAST OVAL - TANGADEE,,,,,,,,,,,,,,
21/03/2026,,21/03/2026,,21/03/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ANGUS KENT,,ALEC SMITH,,BRADLEY LEE,,,,,,,,,,,,,,
ANTHONY BROKATE,,ARCHIE NICHOLSON,,CORBIN LITTLE,,,,,,,,,,,,,,
CHRIS PHELPS,,CAMERON HILL,,DARREN JEFFREY,,,,,,,,,,,,,,
CRAIG FORD (CAPT),,CAMERON LUCAS,,GEORGE YOUNG,,,,,,,,,,,,,,
FREDDIE HIGTON,,CAMPBELL LOCKYER,,GRANT MATTHEWS,,,,,,,,,,,,,,
HUDSON MALINGRE,,ELLIOT FOOTE,,JAKE BENNETT,,,,,,,,,,,,,,
JAMES SKEELS,,GRANT PATTISON,,JASON YOUNG,,,,,,,,,,,,,,
JASON R DAVEY,,HUGO YOUNG,,MATTHEW GUYTON (CAPT),,,,,,,,,,,,,,
JEFFREY PETRIE,,KYLE JEFFREY,,MICHAEL GRIFFITHS,,,,,,,,,,,,,,
OSCAR SMITH,,MICHAEL NIVEN,,PETER BOYCE,,,,,,,,,,,,,,
RYLAN ARMS,,RORY COLLINS,,PETER WALSH,,,,,,,,,,,,,,
ZACHARY DRECKOW,,RUSSELL MOFFAT (CAPT),,SCOTT MARTIN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HALLS HEAD 6/145,,HALLS HEAD 5/124,,HALLS HEAD 6/118,,,,,,,,,,,,,,
DEF,,DEF,,DEF,,,,,,,,,,,,,,
WHITE KNIGHTS BALDIVIS B GRADE 140,,MCC SENIOR MEN D GRADE 118,,PINJARRA E GRADE 116,,,,,,,,,,,,,,
