Year,Grade,Competition,Venue,Match Date,Result,Man of the Match,Player,Captain,Batting Order
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,MATT BLACKWELL,,9
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,BRIAN CULLEN,,10
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,AARON FITZPATRICK,,11
2002,B Grade,B GRADE,WARNBRO #2,2002-03-23,Halls Head 134 def SHOALWATER 89,BRIAN CULLEN,CHRIS HICKMAN,,12
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,DALE BURNS,,1
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,TREVOR ANNING,,2
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,MARK CHAPELHOW,,3
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,LEIGH BURNS,Yes,4
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,CHRIS PHELPS,,5
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,DAVID LOVELL,,6
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,PETER WYLLIE,,7
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,WAYNE REID,,8
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,CHRIS BAKER,,9
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,MATT GUYTON,,10
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,ROGER WREN,,11
2003,A Grade,A GRADE,PEELWOOD #1,2003-03-29,Halls Head 8/231 def MANDURAH 80,LEIGH BURNS,BRIAN CULLEN,,12
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,DALE BURNS,,1
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,MARK CHAPELHOW,,2
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,CHRIS PHELPS,,3
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,MICHAEL HOLMES,,4
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,PETER WYLLIE,,5
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,BRENDON KING,Yes,6
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,PAUL GILLAM,,7
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,CRAIG WHITE,,8
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,CHRIS BAKER,,9
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,RICK TYSON,,10
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,AARON THOMAS,,11
2005,A Grade,A GRADE,PEELWOOD #1,2005-03-19,Halls Head 8/179 def MANDURAH 9/175,RICK TYSON,JUDD PRENTICE,,12
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,CARY GREEN,,1
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,NATHAN HOGG,,2
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,BRENDON KING,Yes,3
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,DALE BURNS,,4
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,PETER WYLLIE,,5
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,CHRIS PHELPS,,6
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,MICHAEL HOLMES,,7
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,MARK CHAPELHOW,,8
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,WAYNE REID,,9
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,ROD TREGENZA,,10
2006,A Grade,A GRADE,STAN TWIGHT EAST,2006-03-25,Halls Head 8/227 def MANDURAH 7/223,CARY GREEN,SIMON NOBLE,,11
2006,B Grade,B GRADE,CAREEBA,2006-03-25,Halls Head 8/164 def SAFETY BAY 162,,DARREN JEFFREY,,1
